,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,27.666,20.557,11.603,1515.95,1005.0
1,1.0,26.768,52.168,31.413,1536.49,1021.33
2,2.0,26.757,52.639,33.362,1536.84,1021.6
3,3.0,26.751,52.697,33.438,1536.9,1021.64
4,4.0,26.751,52.728,33.457,1536.93,1021.66
5,5.0,26.756,52.728,33.459,1536.96,1021.66
6,6.0,26.761,52.743,33.462,1537.0,1021.66
7,7.0,26.751,52.743,33.464,1537.0,1021.68
8,8.0,26.761,52.743,33.463,1537.03,1021.67
9,9.0,26.761,52.748,33.463,1537.05,1021.68
10,10.0,26.761,52.743,33.463,1537.06,1021.68
11,11.0,26.761,52.748,33.474,1537.08,1021.68
12,12.0,26.797,52.829,33.494,1537.22,1021.7
13,13.0,26.811,52.879,33.517,1537.29,1021.72
14,14.0,26.842,52.926,33.535,1537.39,1021.73
15,15.0,26.852,52.95,33.545,1537.44,1021.74
16,16.0,26.871,52.987,33.557,1537.52,1021.74
17,17.0,26.881,53.015,33.564,1537.57,1021.75
18,18.0,26.872,52.987,33.561,1537.55,1021.75
19,19.0,26.872,52.999,33.568,1537.58,1021.76
20,20.0,26.903,53.082,33.606,1537.7,1021.78
21,21.0,26.973,53.216,33.647,1537.92,1021.8
22,22.0,27.028,53.372,33.724,1538.14,1021.84
23,23.0,27.177,53.765,33.859,1538.68,1021.92
24,24.0,27.244,53.942,33.973,1538.93,1021.96
25,25.0,27.336,54.242,34.1,1539.31,1022.05
26,26.0,27.39,54.465,34.197,1539.57,1022.12
27,27.0,27.313,54.405,34.236,1539.43,1022.16
28,28.0,27.211,54.335,34.26,1539.24,1022.22
29,29.0,27.157,54.298,34.274,1539.15,1022.25
30,30.0,27.113,54.265,34.282,1539.08,1022.27
31,31.0,27.044,54.207,34.29,1538.95,1022.31
32,32.0,27.034,54.192,34.293,1538.94,1022.31
33,33.0,27.002,54.159,34.291,1538.88,1022.32
34,34.0,26.802,53.963,34.294,1538.45,1022.4
35,35.0,26.682,53.844,34.3,1538.19,1022.44
36,36.0,26.64,53.81,34.305,1538.12,1022.47
37,37.0,26.619,53.788,34.306,1538.09,1022.48
38,38.0,26.599,53.765,34.307,1538.06,1022.49
39,39.0,26.527,53.688,34.31,1537.91,1022.51
40,40.0,26.474,53.652,34.316,1537.81,1022.54
41,41.0,26.448,53.627,34.316,1537.77,1022.56
42,42.0,26.417,53.597,34.318,1537.72,1022.57
43,43.0,26.388,53.582,34.325,1537.68,1022.59
44,44.0,26.388,53.582,34.326,1537.69,1022.6
45,45.0,26.377,53.567,34.324,1537.68,1022.6
46,46.0,26.354,53.551,34.329,1537.65,1022.61
47,47.0,26.32,53.526,34.337,1537.6,1022.64
48,48.0,26.197,53.414,34.346,1537.34,1022.69
49,49.0,26.11,53.333,34.361,1537.16,1022.72
50,50.0,25.989,53.262,34.394,1536.93,1022.8
51,51.0,25.896,53.201,34.423,1536.76,1022.85
52,52.0,25.803,53.14,34.438,1536.58,1022.9
53,53.0,25.699,53.033,34.445,1536.35,1022.94
54,54.0,25.636,52.988,34.462,1536.24,1022.97
55,55.0,25.576,52.972,34.484,1536.15,1023.02
56,56.0,25.44,52.84,34.488,1535.85,1023.07
57,57.0,25.298,52.668,34.477,1535.5,1023.1
58,58.0,25.224,52.575,34.463,1535.33,1023.12
59,59.0,25.171,52.49,34.444,1535.2,1023.12
60,60.0,25.029,52.362,34.453,1534.88,1023.18
61,61.0,25.022,52.392,34.479,1534.92,1023.21
62,62.0,25.039,52.423,34.489,1534.98,1023.21
63,63.0,25.058,52.468,34.511,1535.07,1023.23
64,64.0,25.112,52.582,34.545,1535.26,1023.25
65,65.0,25.059,52.535,34.561,1535.15,1023.27
66,66.0,25.009,52.499,34.549,1535.06,1023.3
67,67.0,24.642,51.882,34.437,1533.99,1023.28
68,68.0,24.236,51.352,34.307,1532.92,1023.34
69,69.0,23.944,50.944,34.216,1532.12,1023.37
70,70.0,23.732,50.629,34.149,1531.53,1023.38
71,71.0,23.562,50.38,34.069,1531.06,1023.39
72,72.0,23.2,49.846,33.957,1530.02,1023.4
73,73.0,22.879,49.367,33.837,1529.08,1023.41
74,74.0,22.474,48.839,33.756,1527.94,1023.46
75,75.0,22.258,48.657,33.766,1527.43,1023.54
76,76.0,22.139,48.565,33.792,1527.16,1023.59
77,77.0,22.097,48.539,33.802,1527.08,1023.62
78,78.0,22.084,48.535,33.808,1527.07,1023.63
79,79.0,22.066,48.52,33.811,1527.04,1023.64
80,80.0,22.049,48.508,33.813,1527.02,1023.65
81,81.0,22.037,48.505,33.817,1527.01,1023.67
82,82.0,22.027,48.498,33.825,1527.0,1023.68
83,83.0,21.998,48.489,33.845,1526.96,1023.7
84,84.0,22.027,48.565,33.869,1527.09,1023.72
85,85.0,21.979,48.52,33.874,1526.98,1023.74
86,86.0,21.895,48.431,33.869,1526.78,1023.77
87,87.0,21.832,48.367,33.891,1526.62,1023.79
88,88.0,21.873,48.521,33.962,1526.85,1023.85
89,89.0,21.929,48.655,34.021,1527.08,1023.88
90,90.0,21.969,48.733,34.048,1527.23,1023.9
91,91.0,21.984,48.764,34.07,1527.3,1023.9
92,92.0,22.064,48.93,34.116,1527.61,1023.94
93,93.0,22.104,48.988,34.144,1527.74,1023.95
94,94.0,22.095,48.977,34.147,1527.73,1023.95
95,95.0,22.085,48.992,34.152,1527.74,1023.97
96,96.0,22.098,49.023,34.16,1527.81,1023.98
97,97.0,22.078,48.992,34.188,1527.76,1023.99
98,98.0,22.38,49.547,34.313,1528.78,1024.05
99,99.0,22.678,49.966,34.421,1529.67,1024.04
100,100.0,22.675,49.965,34.435,1529.68,1024.05
101,101.0,22.487,49.692,34.42,1529.14,1024.05
102,102.0,22.428,49.671,34.457,1529.04,1024.1
103,103.0,22.689,50.129,34.554,1529.89,1024.14
104,104.0,22.772,50.258,34.6,1530.16,1024.15
105,105.0,22.61,50.073,34.589,1529.74,1024.19
106,106.0,22.425,49.878,34.577,1529.27,1024.24
107,107.0,22.272,49.704,34.569,1528.88,1024.27
108,108.0,22.146,49.587,34.569,1528.57,1024.33
109,109.0,22.123,49.571,34.569,1528.54,1024.34
110,110.0,22.0,49.459,34.583,1528.24,1024.38
111,111.0,21.906,49.393,34.611,1528.03,1024.44
112,112.0,21.882,49.389,34.621,1528.0,1024.46
113,113.0,21.781,49.282,34.623,1527.75,1024.49
114,114.0,21.767,49.282,34.628,1527.74,1024.5
115,115.0,21.728,49.233,34.625,1527.65,1024.51
116,116.0,21.689,49.206,34.636,1527.57,1024.53
117,117.0,21.689,49.221,34.648,1527.6,1024.55
118,118.0,21.689,49.236,34.654,1527.63,1024.56
119,119.0,21.548,49.089,34.656,1527.27,1024.6
120,120.0,21.477,49.022,34.66,1527.11,1024.63
121,121.0,21.458,49.023,34.67,1527.09,1024.65
122,122.0,21.414,48.996,34.683,1527.0,1024.68
123,123.0,21.362,48.947,34.688,1526.88,1024.7
124,124.0,21.328,48.908,34.684,1526.8,1024.71
125,125.0,21.22,48.78,34.666,1526.52,1024.73
126,126.0,20.975,48.472,34.633,1525.82,1024.76
127,127.0,20.72,48.205,34.615,1525.13,1024.83
128,128.0,20.624,48.108,34.613,1524.89,1024.86
129,129.0,20.592,48.071,34.611,1524.82,1024.87
130,130.0,20.557,48.032,34.608,1524.73,1024.88
131,131.0,20.497,47.953,34.602,1524.57,1024.89
132,132.0,20.375,47.833,34.596,1524.25,1024.93
133,133.0,20.151,47.594,34.596,1523.64,1024.99
134,134.0,19.944,47.418,34.608,1523.11,1025.07
135,135.0,19.867,47.351,34.617,1522.92,1025.1
136,136.0,19.727,47.223,34.631,1522.56,1025.15
137,137.0,19.606,47.141,34.651,1522.27,1025.2
138,138.0,19.473,46.998,34.654,1521.91,1025.24
139,139.0,19.365,46.886,34.652,1521.62,1025.27
140,140.0,19.3,46.827,34.655,1521.46,1025.29
141,141.0,19.263,46.812,34.666,1521.39,1025.32
142,142.0,19.272,46.827,34.675,1521.43,1025.33
143,143.0,19.272,46.827,34.682,1521.45,1025.33
144,144.0,19.272,46.827,34.684,1521.47,1025.34
145,145.0,19.272,46.827,34.678,1521.48,1025.34
146,146.0,19.272,46.827,34.683,1521.5,1025.34
