,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,26.872,20.125,11.529,1513.95,1005.18
1,1.0,23.387,47.579,30.858,1527.3,1021.64
2,2.0,23.292,49.191,33.343,1528.48,1022.65
3,3.0,23.231,49.395,33.602,1528.56,1022.83
4,4.0,23.179,49.504,33.72,1528.58,1022.94
5,5.0,23.147,49.519,33.769,1528.55,1022.99
6,6.0,23.124,49.519,33.79,1528.53,1023.01
7,7.0,23.102,49.519,33.805,1528.51,1023.03
8,8.0,23.089,49.519,33.814,1528.5,1023.04
9,9.0,23.044,49.488,33.826,1528.41,1023.07
10,10.0,22.996,49.458,33.842,1528.32,1023.1
11,11.0,22.986,49.458,33.85,1528.32,1023.11
12,12.0,22.976,49.473,33.859,1528.34,1023.13
13,13.0,22.976,49.473,33.864,1528.35,1023.14
14,14.0,22.976,49.473,33.869,1528.37,1023.14
15,15.0,22.976,49.488,33.875,1528.4,1023.16
16,16.0,22.976,49.488,33.876,1528.41,1023.16
17,17.0,22.967,49.488,33.883,1528.41,1023.17
18,18.0,22.928,49.473,33.9,1528.35,1023.2
19,19.0,22.891,49.458,33.916,1528.29,1023.23
20,20.0,22.879,49.458,33.926,1528.29,1023.24
21,21.0,22.869,49.458,33.933,1528.29,1023.26
22,22.0,22.833,49.427,33.939,1528.22,1023.27
23,23.0,22.772,49.381,33.949,1528.09,1023.3
24,24.0,22.733,49.366,33.964,1528.02,1023.33
25,25.0,22.708,49.351,33.97,1527.98,1023.35
26,26.0,22.665,49.305,33.971,1527.89,1023.36
27,27.0,22.643,49.27,33.968,1527.84,1023.37
28,28.0,22.588,49.213,33.971,1527.71,1023.39
29,29.0,22.588,49.259,33.988,1527.76,1023.42
30,30.0,22.578,49.243,33.991,1527.75,1023.42
31,31.0,22.568,49.228,33.993,1527.74,1023.42
32,32.0,22.568,49.243,34.0,1527.76,1023.44
33,33.0,22.559,49.246,34.012,1527.77,1023.45
34,34.0,22.535,49.251,34.032,1527.75,1023.48
35,35.0,22.417,49.17,34.056,1527.49,1023.54
36,36.0,22.022,48.84,34.088,1526.53,1023.69
37,37.0,21.549,48.353,34.091,1525.28,1023.82
38,38.0,20.985,47.789,34.104,1523.79,1023.98
39,39.0,20.826,47.716,34.171,1523.45,1024.08
40,40.0,20.873,47.827,34.206,1523.65,1024.11
41,41.0,20.623,47.509,34.177,1522.93,1024.14
42,42.0,20.308,47.254,34.197,1522.13,1024.26
43,43.0,20.267,47.254,34.242,1522.07,1024.3
44,44.0,20.251,47.254,34.256,1522.06,1024.32
45,45.0,20.242,47.27,34.273,1522.07,1024.34
46,46.0,20.242,47.285,34.287,1522.1,1024.36
47,47.0,20.191,47.239,34.298,1521.98,1024.38
48,48.0,19.975,47.086,34.333,1521.46,1024.48
49,49.0,19.924,47.05,34.353,1521.35,1024.51
50,50.0,19.88,47.009,34.353,1521.25,1024.52
51,51.0,19.842,46.964,34.353,1521.15,1024.53
52,52.0,19.813,46.948,34.355,1521.1,1024.55
53,53.0,19.794,46.918,34.355,1521.05,1024.55
54,54.0,19.785,46.918,34.355,1521.05,1024.57
55,55.0,19.756,46.887,34.356,1520.98,1024.58
56,56.0,19.737,46.862,34.355,1520.94,1024.58
57,57.0,19.689,46.811,34.352,1520.82,1024.6
58,58.0,19.658,46.78,34.352,1520.75,1024.61
59,59.0,19.617,46.749,34.353,1520.66,1024.63
60,60.0,19.585,46.719,34.356,1520.59,1024.64
61,61.0,19.556,46.688,34.358,1520.52,1024.65
62,62.0,19.503,46.648,34.367,1520.4,1024.68
63,63.0,19.433,46.612,34.386,1520.25,1024.72
64,64.0,19.363,46.576,34.407,1520.1,1024.77
65,65.0,19.206,46.424,34.422,1519.68,1024.82
66,66.0,19.007,46.26,34.442,1519.16,1024.89
67,67.0,18.955,46.214,34.456,1519.03,1024.91
68,68.0,18.911,46.173,34.461,1518.93,1024.93
69,69.0,18.873,46.137,34.464,1518.84,1024.94
70,70.0,18.835,46.107,34.466,1518.75,1024.96
71,71.0,18.807,46.076,34.469,1518.69,1024.97
72,72.0,18.788,46.061,34.471,1518.65,1024.98
73,73.0,18.75,46.04,34.473,1518.58,1025.01
74,74.0,18.74,46.03,34.474,1518.56,1025.02
75,75.0,18.731,46.015,34.476,1518.55,1025.02
76,76.0,18.718,46.0,34.477,1518.52,1025.02
77,77.0,18.712,46.0,34.474,1518.53,1025.03
78,78.0,18.702,45.984,34.475,1518.51,1025.03
79,79.0,18.689,45.978,34.476,1518.5,1025.05
80,80.0,18.674,45.969,34.478,1518.47,1025.06
81,81.0,18.665,45.969,34.481,1518.47,1025.07
82,82.0,18.655,45.954,34.481,1518.45,1025.07
83,83.0,18.655,45.954,34.482,1518.47,1025.08
84,84.0,18.655,45.954,34.481,1518.49,1025.08
85,85.0,18.655,45.954,34.483,1518.51,1025.09
86,86.0,18.638,45.938,34.484,1518.47,1025.1
87,87.0,18.617,45.923,34.486,1518.43,1025.11
88,88.0,18.608,45.908,34.485,1518.42,1025.11
89,89.0,18.598,45.908,34.485,1518.42,1025.12
90,90.0,18.589,45.892,34.485,1518.4,1025.13
91,91.0,18.57,45.877,34.485,1518.37,1025.14
92,92.0,18.561,45.877,34.487,1518.36,1025.15
93,93.0,18.542,45.847,34.486,1518.31,1025.15
94,94.0,18.513,45.831,34.491,1518.26,1025.17
95,95.0,18.494,45.816,34.496,1518.23,1025.18
96,96.0,18.472,45.801,34.5,1518.18,1025.19
97,97.0,18.447,45.785,34.501,1518.14,1025.21
98,98.0,18.438,45.77,34.502,1518.12,1025.22
99,99.0,18.428,45.755,34.503,1518.1,1025.22
100,100.0,18.411,45.743,34.503,1518.08,1025.23
101,101.0,18.342,45.678,34.507,1517.9,1025.25
102,102.0,18.263,45.609,34.511,1517.7,1025.29
103,103.0,18.212,45.571,34.514,1517.57,1025.31
104,104.0,18.18,45.525,34.515,1517.48,1025.31
105,105.0,18.145,45.495,34.516,1517.4,1025.33
106,106.0,18.117,45.465,34.515,1517.33,1025.34
107,107.0,18.057,45.413,34.508,1517.18,1025.36
108,108.0,17.792,45.148,34.512,1516.42,1025.43
109,109.0,17.739,45.112,34.523,1516.29,1025.46
110,110.0,17.601,44.947,34.517,1515.88,1025.47
111,111.0,17.451,44.825,34.522,1515.47,1025.54
112,112.0,17.359,44.728,34.524,1515.21,1025.55
113,113.0,17.305,44.684,34.525,1515.07,1025.58
114,114.0,17.277,44.653,34.524,1515.0,1025.59
115,115.0,17.249,44.622,34.523,1514.93,1025.6
116,116.0,17.215,44.592,34.523,1514.85,1025.62
117,117.0,17.183,44.561,34.523,1514.77,1025.62
118,118.0,17.164,44.546,34.524,1514.73,1025.63
119,119.0,17.129,44.515,34.525,1514.65,1025.65
120,120.0,17.088,44.469,34.525,1514.54,1025.66
121,121.0,17.06,44.454,34.527,1514.48,1025.68
122,122.0,16.989,44.378,34.529,1514.28,1025.7
123,123.0,16.917,44.316,34.533,1514.09,1025.72
124,124.0,16.872,44.27,34.534,1513.97,1025.74
125,125.0,16.816,44.211,34.537,1513.81,1025.75
126,126.0,16.756,44.159,34.536,1513.65,1025.77
127,127.0,16.624,44.031,34.536,1513.27,1025.81
128,128.0,16.533,43.949,34.542,1513.02,1025.84
129,129.0,16.505,43.919,34.545,1512.95,1025.85
130,130.0,16.458,43.873,34.546,1512.82,1025.87
131,131.0,16.42,43.842,34.548,1512.73,1025.88
132,132.0,16.392,43.811,34.548,1512.65,1025.89
133,133.0,16.383,43.811,34.548,1512.65,1025.9
134,134.0,16.333,43.761,34.546,1512.51,1025.92
135,135.0,16.283,43.709,34.544,1512.37,1025.93
136,136.0,16.26,43.688,34.545,1512.32,1025.94
137,137.0,16.232,43.658,34.547,1512.25,1025.95
138,138.0,16.214,43.643,34.547,1512.21,1025.96
139,139.0,16.185,43.613,34.545,1512.14,1025.97
