,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,27.38,19.56,11.057,1514.68,1004.68
1,1.0,24.557,50.492,31.947,1531.65,1022.3
2,2.0,24.524,50.817,33.693,1531.88,1022.52
3,3.0,24.514,50.883,33.754,1531.93,1022.57
4,4.0,24.514,50.887,33.769,1531.94,1022.57
5,5.0,24.524,50.907,33.776,1532.0,1022.59
6,6.0,24.516,50.915,33.779,1532.0,1022.6
7,7.0,24.524,50.915,33.779,1532.04,1022.59
8,8.0,24.524,50.915,33.78,1532.05,1022.6
9,9.0,24.524,50.93,33.786,1532.08,1022.61
10,10.0,24.524,50.93,33.789,1532.1,1022.61
11,11.0,24.524,50.93,33.794,1532.11,1022.62
12,12.0,24.524,50.945,33.8,1532.14,1022.63
13,13.0,24.524,50.96,33.813,1532.17,1022.64
14,14.0,24.514,50.976,33.833,1532.18,1022.67
15,15.0,24.514,50.991,33.84,1532.21,1022.68
16,16.0,24.514,50.991,33.842,1532.23,1022.68
17,17.0,24.514,50.994,33.848,1532.25,1022.69
18,18.0,24.504,51.03,33.868,1532.28,1022.73
19,19.0,24.504,51.037,33.883,1532.3,1022.73
20,20.0,24.494,51.022,33.886,1532.29,1022.73
21,21.0,24.484,51.022,33.889,1532.29,1022.75
22,22.0,24.428,50.98,33.896,1532.18,1022.78
23,23.0,24.386,50.945,33.904,1532.1,1022.8
24,24.0,24.333,50.91,33.911,1532.0,1022.83
25,25.0,24.281,50.859,33.914,1531.89,1022.85
26,26.0,24.189,50.777,33.922,1531.69,1022.88
27,27.0,24.127,50.727,33.933,1531.56,1022.91
28,28.0,24.016,50.63,33.941,1531.31,1022.96
29,29.0,23.934,50.564,33.955,1531.14,1023.0
30,30.0,23.811,50.453,33.964,1530.86,1023.04
31,31.0,23.762,50.41,33.967,1530.76,1023.07
32,32.0,23.652,50.321,33.994,1530.52,1023.12
33,33.0,23.589,50.318,34.033,1530.43,1023.17
34,34.0,23.474,50.25,34.086,1530.19,1023.24
35,35.0,23.253,50.165,34.167,1529.77,1023.39
36,36.0,23.2,50.165,34.214,1529.69,1023.44
37,37.0,23.2,50.196,34.238,1529.73,1023.46
38,38.0,23.19,50.207,34.252,1529.75,1023.48
39,39.0,23.189,50.211,34.261,1529.76,1023.49
40,40.0,23.151,50.196,34.273,1529.7,1023.52
41,41.0,23.098,50.169,34.292,1529.6,1023.55
42,42.0,23.034,50.135,34.317,1529.48,1023.59
43,43.0,22.946,50.062,34.335,1529.28,1023.63
44,44.0,22.794,49.925,34.339,1528.93,1023.69
45,45.0,22.626,49.752,34.342,1528.51,1023.74
46,46.0,22.587,49.722,34.346,1528.43,1023.76
47,47.0,22.542,49.666,34.343,1528.33,1023.77
48,48.0,22.394,49.492,34.34,1527.94,1023.8
49,49.0,22.219,49.355,34.349,1527.53,1023.88
50,50.0,22.2,49.339,34.352,1527.5,1023.89
51,51.0,22.19,49.324,34.352,1527.49,1023.9
52,52.0,22.178,49.309,34.351,1527.47,1023.9
53,53.0,22.097,49.232,34.352,1527.28,1023.93
54,54.0,21.998,49.141,34.359,1527.04,1023.97
55,55.0,21.975,49.125,34.364,1527.0,1023.98
56,56.0,21.93,49.079,34.367,1526.9,1024.0
57,57.0,21.872,49.033,34.371,1526.78,1024.03
58,58.0,21.821,48.972,34.37,1526.65,1024.04
59,59.0,21.769,48.932,34.372,1526.54,1024.06
60,60.0,21.68,48.835,34.372,1526.31,1024.09
