,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,25.847,15.576,8.921,1508.61,1003.52
1,1.0,24.137,46.536,29.975,1527.77,1020.44
2,2.0,24.103,49.364,32.679,1530.0,1022.06
3,3.0,24.103,49.6,33.099,1530.21,1022.2
4,4.0,24.113,49.665,33.152,1530.29,1022.23
5,5.0,24.113,49.685,33.17,1530.33,1022.25
6,6.0,24.113,49.723,33.192,1530.37,1022.27
7,7.0,24.113,49.755,33.219,1530.41,1022.29
8,8.0,24.113,49.805,33.256,1530.47,1022.32
9,9.0,24.103,49.855,33.308,1530.51,1022.37
10,10.0,24.094,49.965,33.389,1530.61,1022.44
11,11.0,24.074,50.137,33.514,1530.73,1022.56
12,12.0,24.044,50.223,33.633,1530.76,1022.64
13,13.0,24.044,50.388,33.733,1530.92,1022.74
14,14.0,24.035,50.436,33.791,1530.95,1022.78
15,15.0,24.0,50.459,33.821,1530.93,1022.82
16,16.0,23.946,50.405,33.834,1530.82,1022.84
17,17.0,23.917,50.375,33.836,1530.76,1022.86
18,18.0,23.897,50.375,33.84,1530.74,1022.88
19,19.0,23.888,50.36,33.84,1530.73,1022.88
20,20.0,23.888,50.36,33.84,1530.75,1022.89
21,21.0,23.878,50.345,33.84,1530.73,1022.89
22,22.0,23.868,50.334,33.839,1530.72,1022.89
23,23.0,23.858,50.329,33.838,1530.72,1022.91
24,24.0,23.829,50.299,33.84,1530.66,1022.92
25,25.0,23.777,50.259,33.85,1530.56,1022.95
26,26.0,23.731,50.238,33.865,1530.48,1022.98
27,27.0,23.721,50.238,33.872,1530.48,1022.99
28,28.0,23.721,50.238,33.872,1530.5,1022.99
29,29.0,23.711,50.238,33.876,1530.5,1023.01
30,30.0,23.682,50.223,33.887,1530.45,1023.03
31,31.0,23.643,50.208,33.904,1530.39,1023.06
32,32.0,23.643,50.223,33.918,1530.42,1023.07
33,33.0,23.633,50.223,33.927,1530.42,1023.08
34,34.0,23.609,50.208,33.936,1530.39,1023.1
35,35.0,23.568,50.193,33.959,1530.33,1023.13
36,36.0,23.397,50.117,34.01,1529.99,1023.24
37,37.0,23.302,50.05,34.052,1529.78,1023.28
38,38.0,23.235,50.026,34.077,1529.67,1023.34
39,39.0,23.164,49.964,34.085,1529.51,1023.37
40,40.0,23.116,49.92,34.085,1529.41,1023.39
41,41.0,23.08,49.889,34.09,1529.34,1023.41
42,42.0,23.019,49.829,34.096,1529.2,1023.43
43,43.0,22.999,49.814,34.099,1529.17,1023.44
44,44.0,22.924,49.768,34.114,1529.02,1023.49
45,45.0,22.873,49.738,34.136,1528.92,1023.51
46,46.0,22.863,49.738,34.147,1528.92,1023.53
47,47.0,22.853,49.738,34.157,1528.92,1023.54
48,48.0,22.824,49.768,34.203,1528.91,1023.59
49,49.0,22.792,49.829,34.264,1528.93,1023.65
50,50.0,22.682,49.758,34.3,1528.7,1023.71
51,51.0,22.63,49.738,34.321,1528.6,1023.75
52,52.0,22.611,49.738,34.34,1528.59,1023.77
53,53.0,22.566,49.707,34.353,1528.5,1023.8
54,54.0,22.485,49.632,34.36,1528.31,1023.83
55,55.0,22.407,49.571,34.368,1528.14,1023.87
56,56.0,22.388,49.556,34.373,1528.11,1023.88
57,57.0,22.388,49.556,34.374,1528.13,1023.88
58,58.0,22.378,49.545,34.376,1528.12,1023.89
59,59.0,22.378,49.546,34.374,1528.13,1023.89
60,60.0,22.378,49.541,34.369,1528.15,1023.9
61,61.0,22.315,49.475,34.371,1528.0,1023.91
62,62.0,22.247,49.419,34.374,1527.85,1023.95
63,63.0,22.185,49.344,34.363,1527.69,1023.96
64,64.0,21.956,49.058,34.347,1527.06,1024.0
65,65.0,21.605,48.74,34.349,1526.18,1024.12
66,66.0,21.119,48.268,34.368,1524.92,1024.27
67,67.0,20.776,47.984,34.402,1524.06,1024.4
68,68.0,20.613,47.832,34.422,1523.64,1024.46
