,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,26.819,15.11,8.454,1510.55,1002.9
1,1.0,24.084,48.92,30.675,1529.59,1021.82
2,2.0,23.985,49.744,33.223,1530.11,1022.38
3,3.0,23.956,49.839,33.399,1530.16,1022.46
4,4.0,23.935,49.894,33.455,1530.18,1022.51
5,5.0,23.917,49.955,33.504,1530.22,1022.57
6,6.0,23.907,49.983,33.55,1530.24,1022.6
7,7.0,23.897,50.025,33.581,1530.28,1022.64
8,8.0,23.897,50.047,33.603,1530.31,1022.65
9,9.0,23.897,50.078,33.619,1530.35,1022.67
10,10.0,23.897,50.092,33.631,1530.38,1022.68
11,11.0,23.888,50.082,33.64,1530.37,1022.69
12,12.0,23.839,50.056,33.648,1530.29,1022.72
13,13.0,23.848,50.063,33.649,1530.32,1022.72
14,14.0,23.809,50.032,33.65,1530.25,1022.74
15,15.0,23.762,49.973,33.659,1530.13,1022.75
16,16.0,23.687,49.929,33.671,1529.99,1022.8
17,17.0,23.628,49.894,33.69,1529.88,1022.84
18,18.0,23.594,49.894,33.711,1529.84,1022.87
19,19.0,23.584,49.894,33.721,1529.84,1022.88
20,20.0,23.575,49.894,33.73,1529.84,1022.89
21,21.0,23.545,49.894,33.743,1529.8,1022.92
22,22.0,23.545,49.894,33.751,1529.82,1022.92
23,23.0,23.513,49.879,33.763,1529.77,1022.94
24,24.0,23.487,49.877,33.775,1529.74,1022.97
25,25.0,23.448,49.849,33.788,1529.67,1022.99
26,26.0,23.409,49.833,33.805,1529.61,1023.02
27,27.0,23.38,49.818,33.819,1529.56,1023.04
28,28.0,23.357,49.813,33.828,1529.53,1023.07
29,29.0,23.32,49.787,33.842,1529.47,1023.09
30,30.0,23.263,49.772,33.874,1529.37,1023.13
31,31.0,23.17,49.742,33.912,1529.21,1023.2
32,32.0,23.117,49.711,33.937,1529.11,1023.23
33,33.0,23.084,49.696,33.949,1529.05,1023.25
34,34.0,23.068,49.693,33.954,1529.04,1023.27
35,35.0,23.02,49.65,33.963,1528.94,1023.29
36,36.0,22.916,49.576,33.985,1528.72,1023.35
37,37.0,22.726,49.426,34.009,1528.28,1023.43
38,38.0,22.657,49.368,34.026,1528.12,1023.46
39,39.0,22.61,49.34,34.034,1528.03,1023.49
40,40.0,22.553,49.282,34.042,1527.91,1023.51
41,41.0,22.441,49.193,34.056,1527.65,1023.56
42,42.0,22.354,49.135,34.074,1527.47,1023.6
43,43.0,22.255,49.061,34.095,1527.25,1023.65
44,44.0,22.155,48.988,34.113,1527.02,1023.7
45,45.0,21.972,48.807,34.132,1526.56,1023.75
46,46.0,21.879,48.763,34.152,1526.38,1023.81
47,47.0,21.823,48.717,34.16,1526.26,1023.84
48,48.0,21.715,48.625,34.171,1526.0,1023.88
49,49.0,21.683,48.589,34.178,1525.93,1023.9
50,50.0,21.588,48.513,34.183,1525.71,1023.94
51,51.0,21.427,48.365,34.2,1525.31,1023.99
52,52.0,21.381,48.338,34.212,1525.22,1024.02
53,53.0,21.116,48.066,34.226,1524.52,1024.09
54,54.0,20.725,47.755,34.266,1523.54,1024.26
55,55.0,20.503,47.577,34.303,1523.0,1024.34
56,56.0,20.343,47.43,34.329,1522.58,1024.4
57,57.0,20.223,47.356,34.352,1522.31,1024.46
58,58.0,20.206,47.356,34.362,1522.3,1024.49
59,59.0,20.185,47.326,34.364,1522.25,1024.49
60,60.0,20.156,47.31,34.37,1522.2,1024.51
61,61.0,20.135,47.295,34.374,1522.16,1024.52
62,62.0,20.118,47.28,34.379,1522.13,1024.53
63,63.0,20.108,47.28,34.385,1522.13,1024.54
64,64.0,20.108,47.28,34.385,1522.15,1024.55
65,65.0,20.099,47.265,34.384,1522.13,1024.55
66,66.0,20.089,47.265,34.386,1522.13,1024.56
67,67.0,20.08,47.249,34.386,1522.11,1024.56
68,68.0,20.07,47.249,34.387,1522.11,1024.58
69,69.0,20.08,47.249,34.385,1522.15,1024.57
70,70.0,20.08,47.249,34.385,1522.16,1024.58
71,71.0,20.07,47.249,34.39,1522.16,1024.59
72,72.0,20.07,47.249,34.39,1522.18,1024.59
73,73.0,20.07,47.249,34.389,1522.19,1024.6
74,74.0,20.07,47.249,34.389,1522.21,1024.6
75,75.0,20.07,47.249,34.389,1522.23,1024.61
76,76.0,20.07,47.249,34.389,1522.24,1024.61
77,77.0,20.07,47.265,34.392,1522.27,1024.63
78,78.0,20.072,47.265,34.395,1522.29,1024.63
79,79.0,20.08,47.265,34.393,1522.33,1024.62
80,80.0,20.08,47.265,34.395,1522.34,1024.63
81,81.0,20.07,47.265,34.399,1522.34,1024.64
82,82.0,20.061,47.265,34.402,1522.34,1024.65
83,83.0,20.048,47.249,34.405,1522.32,1024.66
84,84.0,20.042,47.246,34.408,1522.32,1024.67
85,85.0,19.994,47.203,34.411,1522.21,1024.69
86,86.0,19.956,47.173,34.417,1522.13,1024.71
87,87.0,19.937,47.158,34.417,1522.09,1024.72
88,88.0,19.904,47.127,34.419,1522.02,1024.74
89,89.0,19.88,47.106,34.422,1521.97,1024.75
90,90.0,19.85,47.078,34.424,1521.9,1024.76
91,91.0,19.823,47.051,34.426,1521.85,1024.77
92,92.0,19.795,47.035,34.428,1521.8,1024.79
93,93.0,19.759,46.994,34.43,1521.71,1024.8
94,94.0,19.737,46.973,34.433,1521.66,1024.81
95,95.0,19.658,46.907,34.436,1521.47,1024.84
96,96.0,19.506,46.76,34.445,1521.06,1024.88
97,97.0,19.434,46.713,34.458,1520.9,1024.93
98,98.0,19.359,46.639,34.464,1520.7,1024.95
99,99.0,19.285,46.581,34.472,1520.53,1024.98
100,100.0,19.215,46.507,34.478,1520.34,1025.01
101,101.0,19.085,46.402,34.487,1520.01,1025.05
102,102.0,18.996,46.328,34.497,1519.79,1025.09
103,103.0,18.922,46.255,34.504,1519.6,1025.12
104,104.0,18.895,46.24,34.509,1519.54,1025.14
105,105.0,18.885,46.225,34.51,1519.53,1025.14
106,106.0,18.875,46.219,34.512,1519.52,1025.15
107,107.0,18.866,46.21,34.51,1519.51,1025.15
108,108.0,18.856,46.194,34.505,1519.49,1025.16
109,109.0,18.847,46.179,34.503,1519.48,1025.16
110,110.0,18.828,46.164,34.503,1519.44,1025.17
111,111.0,18.828,46.164,34.506,1519.46,1025.17
112,112.0,18.809,46.148,34.505,1519.43,1025.19
113,113.0,18.776,46.11,34.502,1519.34,1025.19
114,114.0,18.739,46.072,34.501,1519.25,1025.2
115,115.0,18.646,45.98,34.501,1519.0,1025.23
116,116.0,18.573,45.919,34.506,1518.82,1025.27
117,117.0,18.509,45.845,34.502,1518.64,1025.28
118,118.0,18.246,45.567,34.501,1517.88,1025.34
119,119.0,17.98,45.344,34.518,1517.16,1025.43
120,120.0,17.857,45.232,34.524,1516.82,1025.48
121,121.0,17.659,45.003,34.513,1516.22,1025.51
122,122.0,17.437,44.8,34.511,1515.6,1025.57
123,123.0,17.272,44.635,34.514,1515.12,1025.62
124,124.0,17.17,44.53,34.515,1514.82,1025.64
125,125.0,17.115,44.497,34.513,1514.7,1025.68
126,126.0,17.007,44.358,34.506,1514.36,1025.68
127,127.0,16.86,44.231,34.505,1513.95,1025.73
128,128.0,16.746,44.126,34.51,1513.63,1025.77
129,129.0,16.717,44.1,34.515,1513.56,1025.78
130,130.0,16.68,44.069,34.517,1513.47,1025.8
131,131.0,16.635,44.01,34.511,1513.34,1025.8
