,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,26.779,15.093,8.451,1510.45,1002.9
1,1.0,24.404,49.434,31.298,1530.55,1021.84
2,2.0,24.328,50.099,33.269,1530.97,1022.28
3,3.0,24.324,50.305,33.466,1531.15,1022.41
4,4.0,24.324,50.336,33.502,1531.19,1022.43
5,5.0,24.324,50.351,33.515,1531.22,1022.44
6,6.0,24.324,50.378,33.532,1531.26,1022.46
7,7.0,24.314,50.395,33.545,1531.27,1022.48
8,8.0,24.311,50.402,33.559,1531.29,1022.49
9,9.0,24.295,50.411,33.583,1531.29,1022.52
10,10.0,24.216,50.396,33.62,1531.16,1022.58
11,11.0,24.085,50.346,33.666,1530.91,1022.67
12,12.0,24.069,50.336,33.689,1530.9,1022.68
13,13.0,24.059,50.322,33.683,1530.88,1022.68
14,14.0,23.709,49.953,33.674,1530.02,1022.79
15,15.0,23.455,49.673,33.656,1529.37,1022.85
16,16.0,23.267,49.473,33.624,1528.9,1022.9
17,17.0,23.015,49.114,33.578,1528.18,1022.91
18,18.0,22.823,48.917,33.556,1527.71,1022.97
19,19.0,22.799,48.909,33.561,1527.67,1022.99
20,20.0,22.729,48.846,33.566,1527.52,1023.01
21,21.0,22.488,48.618,33.593,1526.91,1023.09
22,22.0,22.362,48.586,33.653,1526.68,1023.19
23,23.0,22.43,48.742,33.725,1526.95,1023.23
24,24.0,22.546,48.97,33.78,1527.36,1023.26
25,25.0,22.247,48.622,33.791,1526.56,1023.32
26,26.0,22.063,48.5,33.811,1526.14,1023.42
27,27.0,21.623,48.12,33.851,1525.05,1023.58
28,28.0,21.551,48.089,33.895,1524.91,1023.62
29,29.0,21.503,48.089,33.927,1524.84,1023.67
30,30.0,21.465,48.089,33.951,1524.79,1023.71
31,31.0,21.446,48.074,33.964,1524.76,1023.72
32,32.0,21.399,48.046,33.984,1524.67,1023.75
33,33.0,21.329,48.026,34.012,1524.54,1023.8
34,34.0,21.253,48.006,34.055,1524.4,1023.86
35,35.0,21.244,48.044,34.093,1524.43,1023.89
36,36.0,21.253,48.059,34.105,1524.48,1023.9
37,37.0,21.253,48.089,34.117,1524.52,1023.92
38,38.0,21.263,48.105,34.136,1524.57,1023.93
39,39.0,21.196,48.089,34.161,1524.45,1023.98
40,40.0,21.159,48.074,34.196,1524.39,1024.01
41,41.0,21.074,48.059,34.236,1524.24,1024.08
42,42.0,21.013,48.013,34.256,1524.1,1024.11
43,43.0,20.994,48.029,34.276,1524.1,1024.14
44,44.0,20.978,48.018,34.293,1524.08,1024.15
45,45.0,20.927,47.998,34.312,1523.98,1024.19
46,46.0,20.844,47.938,34.329,1523.8,1024.23
47,47.0,20.774,47.882,34.342,1523.63,1024.26
48,48.0,20.736,47.847,34.347,1523.55,1024.27
49,49.0,20.637,47.766,34.356,1523.31,1024.32
50,50.0,20.548,47.695,34.371,1523.1,1024.36
51,51.0,20.497,47.664,34.383,1523.0,1024.39
52,52.0,20.475,47.634,34.386,1522.95,1024.39
53,53.0,20.414,47.588,34.394,1522.81,1024.42
