,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,24.861,14.624,8.511,1505.62,1003.48
1,1.0,23.204,47.675,30.968,1527.05,1021.85
2,2.0,23.162,48.163,32.706,1527.4,1022.18
3,3.0,23.162,48.302,32.827,1527.53,1022.26
4,4.0,23.171,48.381,32.882,1527.63,1022.3
5,5.0,23.171,48.419,32.912,1527.68,1022.33
6,6.0,23.181,48.456,32.938,1527.74,1022.34
7,7.0,23.191,48.5,32.96,1527.81,1022.37
8,8.0,23.214,48.671,33.039,1528.01,1022.45
9,9.0,23.256,48.81,33.16,1528.22,1022.5
10,10.0,23.318,49.031,33.265,1528.52,1022.57
11,11.0,23.337,49.111,33.358,1528.64,1022.6
12,12.0,23.425,49.402,33.463,1529.05,1022.71
13,13.0,23.463,49.571,33.566,1529.27,1022.77
14,14.0,23.503,49.754,33.704,1529.5,1022.85
15,15.0,23.523,49.975,33.815,1529.74,1022.96
16,16.0,23.503,49.997,33.863,1529.74,1023.0
17,17.0,23.443,49.997,33.908,1529.65,1023.05
18,18.0,23.391,49.997,33.951,1529.58,1023.11
19,19.0,23.337,49.982,33.975,1529.49,1023.14
20,20.0,23.307,49.982,33.995,1529.46,1023.17
21,21.0,23.279,49.967,34.009,1529.41,1023.19
22,22.0,23.242,49.967,34.031,1529.37,1023.23
23,23.0,23.21,49.952,34.051,1529.32,1023.25
24,24.0,23.191,49.952,34.063,1529.3,1023.27
25,25.0,23.171,49.952,34.073,1529.28,1023.3
26,26.0,23.143,49.937,34.08,1529.24,1023.32
27,27.0,23.13,49.921,34.087,1529.22,1023.32
28,28.0,23.123,49.921,34.09,1529.23,1023.33
29,29.0,23.123,49.921,34.094,1529.24,1023.34
30,30.0,23.113,49.921,34.098,1529.24,1023.35
31,31.0,23.113,49.921,34.1,1529.26,1023.35
32,32.0,23.084,49.906,34.113,1529.21,1023.37
33,33.0,23.054,49.906,34.13,1529.18,1023.4
34,34.0,23.045,49.906,34.139,1529.18,1023.42
35,35.0,23.027,49.906,34.149,1529.16,1023.44
36,36.0,23.025,49.906,34.157,1529.18,1023.44
37,37.0,22.992,49.921,34.184,1529.15,1023.48
38,38.0,22.959,49.921,34.221,1529.11,1023.52
39,39.0,22.928,49.937,34.253,1529.09,1023.56
40,40.0,22.895,49.937,34.273,1529.05,1023.59
41,41.0,22.889,49.947,34.284,1529.06,1023.61
42,42.0,22.879,49.936,34.285,1529.05,1023.61
43,43.0,22.84,49.906,34.288,1528.97,1023.63
44,44.0,22.805,49.866,34.294,1528.9,1023.64
45,45.0,22.753,49.831,34.306,1528.8,1023.67
46,46.0,22.604,49.71,34.321,1528.45,1023.73
47,47.0,22.565,49.69,34.333,1528.39,1023.76
48,48.0,22.481,49.604,34.341,1528.18,1023.79
49,49.0,22.423,49.559,34.351,1528.06,1023.82
50,50.0,22.407,49.544,34.352,1528.04,1023.83
51,51.0,22.365,49.499,34.349,1527.94,1023.84
52,52.0,22.336,49.464,34.342,1527.88,1023.86
53,53.0,22.291,49.398,34.326,1527.76,1023.86
54,54.0,22.182,49.242,34.3,1527.45,1023.87
55,55.0,22.057,49.097,34.285,1527.13,1023.89
56,56.0,21.963,49.006,34.277,1526.9,1023.93
57,57.0,21.712,48.702,34.266,1526.21,1023.97
58,58.0,21.302,48.366,34.291,1525.2,1024.13
59,59.0,21.26,48.341,34.312,1525.12,1024.16
60,60.0,21.134,48.201,34.313,1524.79,1024.19
61,61.0,20.975,48.064,34.319,1524.39,1024.25
62,62.0,20.94,48.033,34.321,1524.32,1024.27
63,63.0,20.902,48.003,34.323,1524.24,1024.29
64,64.0,20.819,47.923,34.327,1524.04,1024.31
65,65.0,20.767,47.873,34.332,1523.91,1024.33
66,66.0,20.739,47.852,34.336,1523.85,1024.35
67,67.0,20.72,47.837,34.339,1523.82,1024.36
68,68.0,20.694,47.807,34.339,1523.77,1024.37
69,69.0,20.653,47.762,34.34,1523.67,1024.38
70,70.0,20.624,47.747,34.343,1523.62,1024.4
71,71.0,20.614,47.741,34.344,1523.61,1024.42
72,72.0,20.605,47.731,34.344,1523.6,1024.42
73,73.0,20.563,47.686,34.345,1523.5,1024.43
74,74.0,20.538,47.671,34.348,1523.46,1024.45
75,75.0,20.49,47.626,34.351,1523.34,1024.47
76,76.0,20.416,47.55,34.355,1523.16,1024.49
77,77.0,20.314,47.464,34.357,1522.9,1024.53
78,78.0,20.163,47.29,34.343,1522.48,1024.56
79,79.0,19.957,47.055,34.324,1521.91,1024.6
80,80.0,19.834,46.92,34.307,1521.57,1024.63
81,81.0,19.755,46.825,34.294,1521.35,1024.65
82,82.0,19.681,46.721,34.269,1521.13,1024.65
83,83.0,19.514,46.502,34.225,1520.63,1024.66
84,84.0,19.164,46.143,34.216,1519.64,1024.75
85,85.0,19.105,46.115,34.239,1519.52,1024.79
86,86.0,19.053,46.057,34.242,1519.38,1024.8
87,87.0,18.928,45.946,34.247,1519.05,1024.85
88,88.0,18.901,45.934,34.257,1519.01,1024.87
89,89.0,18.874,45.919,34.266,1518.96,1024.89
90,90.0,18.842,45.904,34.28,1518.9,1024.91
91,91.0,18.816,45.889,34.293,1518.85,1024.93
92,92.0,18.797,45.889,34.304,1518.83,1024.95
93,93.0,18.766,45.869,34.313,1518.77,1024.97
94,94.0,18.74,45.849,34.32,1518.71,1024.98
95,95.0,18.712,45.828,34.33,1518.66,1025.0
96,96.0,18.683,45.828,34.35,1518.62,1025.03
97,97.0,18.667,45.843,34.372,1518.62,1025.06
98,98.0,18.655,45.843,34.384,1518.61,1025.07
99,99.0,18.645,45.843,34.388,1518.61,1025.08
100,100.0,18.645,45.843,34.395,1518.62,1025.09
101,101.0,18.645,45.861,34.41,1518.66,1025.1
102,102.0,18.645,45.874,34.419,1518.69,1025.11
103,103.0,18.645,45.889,34.43,1518.72,1025.13
104,104.0,18.636,45.904,34.448,1518.73,1025.15
105,105.0,18.645,45.934,34.463,1518.79,1025.17
106,106.0,18.627,45.92,34.477,1518.76,1025.18
107,107.0,18.586,45.914,34.493,1518.69,1025.21
108,108.0,18.551,45.874,34.495,1518.6,1025.22
109,109.0,18.541,45.874,34.496,1518.6,1025.24
110,110.0,18.538,45.859,34.495,1518.6,1025.23
111,111.0,18.522,45.859,34.497,1518.58,1025.25
112,112.0,18.503,45.828,34.495,1518.53,1025.25
113,113.0,18.461,45.791,34.496,1518.43,1025.27
114,114.0,18.401,45.74,34.509,1518.29,1025.3
115,115.0,18.352,45.723,34.523,1518.18,1025.33
116,116.0,18.328,45.692,34.525,1518.12,1025.34
117,117.0,18.296,45.677,34.533,1518.06,1025.36
118,118.0,18.283,45.662,34.538,1518.04,1025.36
119,119.0,18.267,45.647,34.537,1518.01,1025.38
120,120.0,18.257,45.646,34.538,1518.01,1025.39
121,121.0,18.239,45.632,34.541,1517.97,1025.4
122,122.0,18.22,45.602,34.54,1517.93,1025.4
123,123.0,18.18,45.569,34.541,1517.84,1025.42
124,124.0,18.125,45.511,34.54,1517.69,1025.43
125,125.0,18.079,45.467,34.542,1517.57,1025.45
126,126.0,18.047,45.436,34.541,1517.49,1025.46
127,127.0,17.949,45.345,34.544,1517.23,1025.5
128,128.0,17.917,45.315,34.547,1517.15,1025.51
129,129.0,17.908,45.315,34.546,1517.15,1025.52
130,130.0,17.891,45.3,34.548,1517.11,1025.53
131,131.0,17.87,45.285,34.549,1517.08,1025.54
132,132.0,17.851,45.254,34.547,1517.03,1025.54
133,133.0,17.823,45.224,34.549,1516.96,1025.55
134,134.0,17.795,45.205,34.549,1516.9,1025.57
135,135.0,17.751,45.164,34.546,1516.79,1025.59
136,136.0,17.662,45.057,34.545,1516.53,1025.6
137,137.0,17.597,45.013,34.55,1516.37,1025.63
138,138.0,17.563,44.97,34.549,1516.28,1025.64
139,139.0,17.455,44.877,34.55,1515.99,1025.68
140,140.0,17.389,44.808,34.553,1515.8,1025.69
141,141.0,17.37,44.787,34.555,1515.76,1025.7
142,142.0,17.289,44.706,34.552,1515.53,1025.73
143,143.0,17.232,44.655,34.552,1515.39,1025.75
144,144.0,17.172,44.605,34.554,1515.23,1025.77
145,145.0,17.163,44.59,34.555,1515.22,1025.78
146,146.0,17.135,44.56,34.556,1515.15,1025.79
147,147.0,17.116,44.545,34.556,1515.11,1025.8
148,148.0,17.116,44.545,34.557,1515.12,1025.8
149,149.0,17.107,44.545,34.559,1515.12,1025.81
150,150.0,17.107,44.545,34.557,1515.14,1025.82
151,151.0,17.107,44.545,34.558,1515.16,1025.82
152,152.0,17.107,44.545,34.558,1515.17,1025.82
153,153.0,17.097,44.529,34.555,1515.15,1025.83
154,154.0,17.088,44.514,34.557,1515.13,1025.83
155,155.0,17.088,44.514,34.554,1515.15,1025.83
156,156.0,17.088,44.514,34.552,1515.17,1025.84
157,157.0,17.059,44.499,34.552,1515.11,1025.86
158,158.0,16.96,44.385,34.549,1514.81,1025.88
159,159.0,16.928,44.363,34.553,1514.74,1025.89
160,160.0,16.881,44.318,34.551,1514.62,1025.91
161,161.0,16.811,44.247,34.55,1514.42,1025.93
162,162.0,16.767,44.197,34.55,1514.3,1025.94
163,163.0,16.735,44.167,34.55,1514.22,1025.96
164,164.0,16.693,44.137,34.547,1514.12,1025.97
165,165.0,16.508,43.899,34.534,1513.51,1025.98
166,166.0,16.291,43.744,34.546,1512.93,1026.08
167,167.0,16.26,43.714,34.552,1512.85,1026.09
168,168.0,16.171,43.609,34.547,1512.58,1026.1
169,169.0,16.073,43.519,34.546,1512.29,1026.13
