,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,27.858,13.337,7.226,1511.79,1001.68
1,1.0,23.926,46.453,29.879,1527.33,1020.56
2,2.0,23.866,49.252,32.818,1529.51,1022.2
3,3.0,23.846,49.865,33.445,1530.0,1022.57
4,4.0,23.837,49.946,33.568,1530.06,1022.63
5,5.0,23.822,49.946,33.586,1530.05,1022.65
6,6.0,23.799,49.931,33.588,1530.01,1022.66
7,7.0,23.767,49.9,33.586,1529.95,1022.67
8,8.0,23.725,49.85,33.582,1529.86,1022.69
9,9.0,23.69,49.811,33.575,1529.78,1022.7
10,10.0,23.621,49.706,33.549,1529.6,1022.7
11,11.0,23.368,49.396,33.518,1528.93,1022.74
12,12.0,23.203,49.227,33.519,1528.52,1022.79
13,13.0,23.104,49.252,33.595,1528.39,1022.9
14,14.0,23.126,49.443,33.722,1528.6,1022.99
15,15.0,23.094,49.548,33.812,1528.65,1023.09
16,16.0,22.95,49.408,33.82,1528.3,1023.13
17,17.0,22.757,49.113,33.761,1527.73,1023.13
18,18.0,22.343,48.751,33.79,1526.73,1023.29
19,19.0,22.411,48.933,33.88,1527.02,1023.34
20,20.0,22.465,49.03,33.917,1527.21,1023.35
21,21.0,22.535,49.141,33.947,1527.44,1023.36
22,22.0,22.59,49.236,33.971,1527.63,1023.38
23,23.0,22.609,49.271,33.993,1527.71,1023.38
24,24.0,22.651,49.35,34.015,1527.87,1023.39
25,25.0,22.667,49.385,34.033,1527.94,1023.41
26,26.0,22.677,49.42,34.051,1528.01,1023.42
27,27.0,22.657,49.416,34.057,1527.99,1023.44
28,28.0,22.657,49.405,34.055,1527.99,1023.44
29,29.0,22.657,49.405,34.056,1528.01,1023.44
30,30.0,22.648,49.405,34.059,1528.01,1023.45
31,31.0,22.643,49.398,34.057,1528.01,1023.46
32,32.0,22.638,49.39,34.055,1528.01,1023.46
33,33.0,22.617,49.36,34.051,1527.97,1023.47
34,34.0,22.585,49.33,34.049,1527.9,1023.49
35,35.0,22.514,49.27,34.06,1527.74,1023.51
36,36.0,22.492,49.27,34.076,1527.72,1023.54
37,37.0,22.473,49.262,34.081,1527.7,1023.55
38,38.0,22.464,49.255,34.084,1527.69,1023.56
39,39.0,22.444,49.24,34.091,1527.66,1023.57
40,40.0,22.392,49.195,34.095,1527.55,1023.59
41,41.0,22.276,49.094,34.105,1527.27,1023.64
42,42.0,22.241,49.075,34.116,1527.22,1023.67
43,43.0,22.228,49.06,34.119,1527.2,1023.67
44,44.0,22.206,49.045,34.122,1527.16,1023.69
45,45.0,22.144,48.985,34.126,1527.02,1023.71
46,46.0,22.003,48.854,34.132,1526.67,1023.76
47,47.0,21.846,48.719,34.151,1526.29,1023.82
48,48.0,21.749,48.654,34.17,1526.08,1023.87
49,49.0,21.679,48.589,34.178,1525.92,1023.9
50,50.0,21.551,48.47,34.189,1525.6,1023.94
51,51.0,21.375,48.295,34.199,1525.15,1024.0
52,52.0,21.167,48.109,34.206,1524.64,1024.07
53,53.0,21.055,47.999,34.204,1524.35,1024.11
54,54.0,20.829,47.769,34.212,1523.75,1024.17
55,55.0,20.694,47.708,34.243,1523.46,1024.26
56,56.0,20.498,47.494,34.258,1522.93,1024.3
57,57.0,20.351,47.378,34.267,1522.57,1024.36
58,58.0,20.211,47.223,34.263,1522.19,1024.39
59,59.0,20.1,47.113,34.265,1521.9,1024.43
60,60.0,20.017,47.047,34.272,1521.7,1024.47
61,61.0,19.998,47.043,34.278,1521.68,1024.49
62,62.0,19.935,46.977,34.284,1521.51,1024.5
63,63.0,19.893,46.957,34.301,1521.43,1024.53
64,64.0,19.912,47.006,34.321,1521.53,1024.55
65,65.0,19.878,46.987,34.329,1521.47,1024.58
66,66.0,19.694,46.807,34.337,1520.97,1024.63
67,67.0,19.51,46.637,34.348,1520.48,1024.69
68,68.0,19.465,46.587,34.341,1520.37,1024.7
69,69.0,19.352,46.446,34.327,1520.04,1024.72
70,70.0,19.279,46.366,34.318,1519.84,1024.73
71,71.0,19.219,46.311,34.316,1519.7,1024.76
72,72.0,19.181,46.281,34.32,1519.61,1024.77
