,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,27.707,25.409,14.611,1519.21,1007.23
1,1.0,27.493,50.564,30.898,1536.42,1019.88
2,2.0,27.503,53.592,33.261,1538.69,1021.46
3,3.0,27.503,53.949,33.763,1538.97,1021.66
4,4.0,27.503,54.011,33.824,1539.03,1021.69
5,5.0,27.503,54.026,33.834,1539.06,1021.7
6,6.0,27.503,54.026,33.841,1539.08,1021.71
7,7.0,27.503,54.041,33.846,1539.11,1021.72
8,8.0,27.503,54.041,33.846,1539.12,1021.72
9,9.0,27.503,54.056,33.852,1539.15,1021.74
10,10.0,27.503,54.056,33.856,1539.17,1021.74
11,11.0,27.513,54.061,33.855,1539.2,1021.74
12,12.0,27.503,54.056,33.854,1539.2,1021.75
13,13.0,27.503,54.055,33.854,1539.22,1021.75
14,14.0,27.505,54.071,33.863,1539.25,1021.77
15,15.0,27.539,54.132,33.875,1539.36,1021.77
16,16.0,27.544,54.132,33.878,1539.38,1021.77
17,17.0,27.544,54.132,33.879,1539.4,1021.77
18,18.0,27.544,54.147,33.885,1539.43,1021.79
19,19.0,27.544,54.147,33.888,1539.45,1021.79
20,20.0,27.544,54.147,33.888,1539.46,1021.79
21,21.0,27.544,54.147,33.887,1539.48,1021.8
22,22.0,27.544,54.147,33.887,1539.49,1021.8
23,23.0,27.544,54.147,33.887,1539.51,1021.81
24,24.0,27.544,54.147,33.886,1539.53,1021.81
25,25.0,27.544,54.147,33.886,1539.54,1021.81
26,26.0,27.544,54.147,33.886,1539.56,1021.82
27,27.0,27.544,54.147,33.886,1539.58,1021.82
28,28.0,27.544,54.147,33.886,1539.59,1021.83
29,29.0,27.544,54.148,33.889,1539.61,1021.83
30,30.0,27.544,54.159,33.891,1539.64,1021.84
31,31.0,27.544,54.162,33.892,1539.66,1021.85
32,32.0,27.544,54.162,33.893,1539.67,1021.85
33,33.0,27.544,54.162,33.894,1539.69,1021.85
34,34.0,27.544,54.162,33.891,1539.71,1021.86
35,35.0,27.554,54.162,33.887,1539.74,1021.86
36,36.0,27.554,54.162,33.887,1539.75,1021.86
37,37.0,27.544,54.168,33.911,1539.76,1021.87
38,38.0,27.518,54.389,34.039,1539.9,1022.02
39,39.0,27.503,54.493,34.146,1539.97,1022.09
40,40.0,27.503,54.493,34.16,1539.99,1022.09
41,41.0,27.493,54.509,34.167,1540.0,1022.12
42,42.0,27.472,54.493,34.181,1539.98,1022.13
43,43.0,27.407,54.469,34.211,1539.88,1022.18
44,44.0,27.308,54.412,34.255,1539.71,1022.24
45,45.0,27.136,54.327,34.297,1539.41,1022.35
46,46.0,26.967,54.151,34.304,1539.03,1022.4
47,47.0,26.862,54.041,34.305,1538.81,1022.44
48,48.0,26.822,53.996,34.304,1538.73,1022.46
49,49.0,26.802,53.981,34.304,1538.71,1022.47
50,50.0,26.782,53.956,34.305,1538.67,1022.48
51,51.0,26.731,53.906,34.301,1538.58,1022.5
52,52.0,26.667,53.841,34.297,1538.45,1022.52
53,53.0,26.593,53.755,34.291,1538.29,1022.55
54,54.0,26.509,53.649,34.281,1538.09,1022.57
55,55.0,26.435,53.569,34.277,1537.93,1022.59
56,56.0,26.286,53.395,34.28,1537.59,1022.63
57,57.0,26.066,53.227,34.302,1537.14,1022.74
58,58.0,26.053,53.223,34.314,1537.13,1022.75
59,59.0,26.01,53.172,34.322,1537.04,1022.77
60,60.0,25.976,53.197,34.348,1537.03,1022.81
61,61.0,25.976,53.212,34.362,1537.06,1022.82
62,62.0,25.92,53.157,34.358,1536.94,1022.85
63,63.0,25.807,53.032,34.353,1536.68,1022.88
64,64.0,25.713,52.936,34.359,1536.48,1022.92
65,65.0,25.676,52.91,34.368,1536.42,1022.94
66,66.0,25.597,52.836,34.369,1536.25,1022.97
67,67.0,25.398,52.66,34.379,1535.82,1023.05
68,68.0,25.175,52.433,34.401,1535.3,1023.13
69,69.0,25.089,52.383,34.414,1535.14,1023.18
70,70.0,25.009,52.312,34.429,1534.98,1023.21
71,71.0,24.983,52.282,34.423,1534.93,1023.22
72,72.0,24.841,52.081,34.397,1534.56,1023.24
73,73.0,24.841,52.157,34.43,1534.64,1023.28
74,74.0,24.947,52.292,34.465,1534.93,1023.27
75,75.0,24.95,52.307,34.464,1534.96,1023.28
76,76.0,24.853,52.155,34.431,1534.7,1023.29
77,77.0,24.639,51.904,34.424,1534.17,1023.34
78,78.0,24.584,51.945,34.467,1534.13,1023.41
79,79.0,24.604,51.991,34.492,1534.22,1023.42
80,80.0,24.611,52.017,34.514,1534.27,1023.44
81,81.0,24.612,52.033,34.516,1534.3,1023.45
82,82.0,24.441,51.81,34.506,1533.86,1023.47
83,83.0,24.446,51.885,34.531,1533.94,1023.52
84,84.0,24.425,51.87,34.541,1533.92,1023.53
85,85.0,24.396,51.84,34.547,1533.86,1023.55
86,86.0,24.359,51.827,34.56,1533.81,1023.58
87,87.0,24.326,51.81,34.573,1533.76,1023.6
88,88.0,24.318,51.81,34.583,1533.76,1023.61
89,89.0,24.231,51.751,34.6,1533.58,1023.66
90,90.0,24.158,51.701,34.614,1533.44,1023.7
91,91.0,24.08,51.62,34.61,1533.27,1023.73
92,92.0,23.954,51.464,34.6,1532.95,1023.75
93,93.0,23.823,51.327,34.6,1532.64,1023.79
94,94.0,23.777,51.287,34.601,1532.54,1023.81
95,95.0,23.689,51.176,34.592,1532.32,1023.83
96,96.0,23.598,51.086,34.595,1532.11,1023.86
97,97.0,23.562,51.097,34.621,1532.08,1023.91
98,98.0,23.552,51.101,34.636,1532.08,1023.92
99,99.0,23.533,51.086,34.637,1532.05,1023.94
100,100.0,23.523,51.071,34.637,1532.04,1023.94
101,101.0,23.474,51.026,34.642,1531.94,1023.96
102,102.0,23.455,51.033,34.662,1531.93,1023.99
103,103.0,23.463,51.071,34.685,1531.99,1024.01
104,104.0,23.464,51.089,34.694,1532.02,1024.02
105,105.0,23.459,51.092,34.698,1532.03,1024.03
106,106.0,23.367,51.011,34.702,1531.83,1024.07
107,107.0,23.357,50.995,34.705,1531.81,1024.07
108,108.0,23.337,50.98,34.707,1531.79,1024.09
109,109.0,23.308,50.935,34.705,1531.72,1024.09
110,110.0,23.24,50.89,34.713,1531.58,1024.13
111,111.0,23.23,50.89,34.719,1531.58,1024.14
112,112.0,23.22,50.875,34.717,1531.57,1024.14
113,113.0,23.196,50.853,34.714,1531.53,1024.16
114,114.0,23.095,50.739,34.708,1531.27,1024.19
115,115.0,23.062,50.694,34.706,1531.2,1024.19
116,116.0,23.035,50.664,34.701,1531.15,1024.2
117,117.0,22.977,50.589,34.684,1531.0,1024.21
118,118.0,22.86,50.453,34.67,1530.7,1024.24
119,119.0,22.824,50.407,34.663,1530.62,1024.25
120,120.0,22.782,50.346,34.654,1530.51,1024.26
121,121.0,22.72,50.272,34.655,1530.36,1024.27
122,122.0,22.716,50.302,34.658,1530.39,1024.3
123,123.0,22.577,50.118,34.64,1530.02,1024.32
124,124.0,22.471,49.992,34.628,1529.74,1024.34
125,125.0,22.453,50.0,34.64,1529.74,1024.37
126,126.0,22.44,50.0,34.656,1529.73,1024.38
127,127.0,22.433,50.0,34.664,1529.74,1024.39
128,128.0,22.414,50.0,34.671,1529.72,1024.41
129,129.0,22.404,49.985,34.677,1529.7,1024.42
130,130.0,22.397,50.004,34.685,1529.73,1024.44
131,131.0,22.375,49.97,34.68,1529.68,1024.44
132,132.0,22.336,49.917,34.67,1529.58,1024.45
133,133.0,22.279,49.851,34.65,1529.44,1024.47
134,134.0,22.071,49.561,34.6,1528.84,1024.48
135,135.0,21.776,49.196,34.562,1528.03,1024.53
136,136.0,21.67,49.096,34.552,1527.77,1024.57
137,137.0,21.614,49.008,34.53,1527.62,1024.57
138,138.0,21.432,48.839,34.561,1527.15,1024.63
139,139.0,21.48,49.053,34.653,1527.45,1024.72
140,140.0,21.482,49.066,34.684,1527.48,1024.74
141,141.0,21.423,48.95,34.625,1527.29,1024.72
142,142.0,20.928,48.347,34.555,1525.88,1024.8
143,143.0,20.716,48.105,34.53,1525.3,1024.84
144,144.0,20.565,47.902,34.493,1524.85,1024.85
145,145.0,20.396,47.672,34.436,1524.36,1024.87
146,146.0,20.111,47.305,34.376,1523.52,1024.9
147,147.0,19.873,47.056,34.369,1522.86,1024.96
148,148.0,19.779,46.985,34.395,1522.63,1025.0
149,149.0,19.661,46.924,34.434,1522.37,1025.07
150,150.0,19.581,46.903,34.476,1522.22,1025.13
151,151.0,19.429,46.795,34.517,1521.85,1025.21
152,152.0,19.143,46.59,34.578,1521.13,1025.33
153,153.0,19.034,46.532,34.622,1520.89,1025.4
154,154.0,19.006,46.517,34.636,1520.83,1025.42
155,155.0,18.977,46.497,34.642,1520.78,1025.44
156,156.0,18.797,46.355,34.676,1520.31,1025.51
157,157.0,18.651,46.259,34.716,1519.96,1025.58
158,158.0,18.589,46.201,34.721,1519.8,1025.61
159,159.0,18.589,46.201,34.722,1519.82,1025.61
160,160.0,18.589,46.216,34.728,1519.85,1025.62
161,161.0,18.589,46.216,34.729,1519.86,1025.63
162,162.0,18.589,46.216,34.729,1519.88,1025.63
163,163.0,18.589,46.216,34.728,1519.9,1025.64
164,164.0,18.589,46.216,34.731,1519.91,1025.64
165,165.0,18.58,46.216,34.73,1519.91,1025.65
166,166.0,18.516,46.14,34.723,1519.73,1025.67
167,167.0,18.475,46.094,34.721,1519.63,1025.68
168,168.0,18.438,46.05,34.721,1519.53,1025.68
169,169.0,18.419,46.035,34.719,1519.49,1025.7
170,170.0,18.416,46.035,34.718,1519.5,1025.7
171,171.0,18.39,46.02,34.723,1519.46,1025.72
172,172.0,18.371,45.99,34.722,1519.41,1025.72
173,173.0,18.315,45.937,34.717,1519.26,1025.75
174,174.0,18.258,45.884,34.716,1519.12,1025.76
175,175.0,18.22,45.839,34.716,1519.02,1025.77
176,176.0,18.211,45.828,34.716,1519.0,1025.77
177,177.0,18.201,45.824,34.718,1519.0,1025.79
178,178.0,18.192,45.809,34.717,1518.98,1025.79
179,179.0,18.182,45.809,34.719,1518.98,1025.8
180,180.0,18.179,45.794,34.718,1518.97,1025.8
181,181.0,18.163,45.779,34.714,1518.95,1025.81
182,182.0,18.134,45.748,34.713,1518.88,1025.82
183,183.0,18.116,45.733,34.711,1518.84,1025.83
184,184.0,18.088,45.703,34.708,1518.77,1025.84
185,185.0,18.06,45.673,34.705,1518.7,1025.85
186,186.0,17.986,45.598,34.705,1518.51,1025.87
187,187.0,17.934,45.535,34.701,1518.35,1025.88
188,188.0,17.865,45.468,34.698,1518.17,1025.9
189,189.0,17.824,45.417,34.695,1518.06,1025.91
190,190.0,17.776,45.371,34.692,1517.93,1025.93
191,191.0,17.757,45.356,34.694,1517.9,1025.94
192,192.0,17.748,45.341,34.689,1517.88,1025.94
193,193.0,17.729,45.326,34.687,1517.85,1025.95
194,194.0,17.71,45.296,34.688,1517.8,1025.95
195,195.0,17.687,45.281,34.686,1517.75,1025.97
