,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,27.736,19.315,10.825,1515.3,1004.4
1,1.0,27.063,52.748,32.005,1537.38,1021.39
2,2.0,27.053,53.103,33.489,1537.65,1021.59
3,3.0,27.053,53.155,33.547,1537.7,1021.62
4,4.0,27.061,53.201,33.575,1537.77,1021.64
5,5.0,27.073,53.246,33.603,1537.84,1021.66
6,6.0,27.083,53.304,33.625,1537.91,1021.69
7,7.0,27.094,53.322,33.631,1537.96,1021.69
8,8.0,27.094,53.322,33.639,1537.97,1021.7
9,9.0,27.104,53.353,33.644,1538.03,1021.71
10,10.0,27.094,53.338,33.644,1538.02,1021.71
11,11.0,27.104,53.353,33.647,1538.06,1021.72
12,12.0,27.094,53.338,33.646,1538.05,1021.72
13,13.0,27.103,53.339,33.644,1538.08,1021.72
14,14.0,27.104,53.353,33.644,1538.11,1021.73
15,15.0,27.104,53.345,33.645,1538.13,1021.73
16,16.0,27.112,53.394,33.665,1538.18,1021.75
17,17.0,27.124,53.414,33.679,1538.23,1021.76
18,18.0,27.144,53.518,33.72,1538.36,1021.8
19,19.0,27.195,53.623,33.766,1538.54,1021.82
20,20.0,27.216,53.657,33.777,1538.61,1021.82
21,21.0,27.216,53.657,33.783,1538.62,1021.82
22,22.0,27.233,53.688,33.788,1538.69,1021.83
23,23.0,27.236,53.703,33.794,1538.72,1021.84
24,24.0,27.202,53.673,33.806,1538.66,1021.85
25,25.0,27.091,53.602,33.877,1538.46,1021.92
26,26.0,27.113,54.004,34.066,1538.82,1022.12
27,27.0,27.239,54.286,34.192,1539.23,1022.16
28,28.0,27.236,54.297,34.218,1539.25,1022.17
29,29.0,27.216,54.283,34.223,1539.22,1022.19
30,30.0,27.163,54.233,34.217,1539.13,1022.21
31,31.0,27.088,54.121,34.196,1538.94,1022.22
32,32.0,26.909,53.867,34.133,1538.5,1022.25
33,33.0,26.48,53.252,34.037,1537.4,1022.29
34,34.0,26.27,52.995,33.99,1536.9,1022.34
35,35.0,26.052,52.677,33.969,1536.33,1022.36
36,36.0,25.939,52.598,33.944,1536.11,1022.42
37,37.0,25.441,51.887,33.841,1534.79,1022.46
38,38.0,25.076,51.58,33.818,1533.97,1022.62
39,39.0,24.916,51.402,33.829,1533.59,1022.66
40,40.0,24.725,51.155,33.808,1533.1,1022.69
41,41.0,24.653,51.13,33.822,1532.98,1022.75
42,42.0,24.611,51.085,33.825,1532.89,1022.76
43,43.0,24.591,51.054,33.822,1532.85,1022.76
44,44.0,24.598,51.075,33.859,1532.9,1022.77
45,45.0,24.879,51.619,34.006,1533.8,1022.84
46,46.0,25.109,51.983,34.116,1534.48,1022.84
47,47.0,25.136,52.059,34.146,1534.6,1022.87
48,48.0,25.146,52.089,34.166,1534.66,1022.88
49,49.0,25.146,52.155,34.206,1534.72,1022.92
50,50.0,25.146,52.181,34.24,1534.76,1022.94
51,51.0,25.126,52.196,34.258,1534.76,1022.97
52,52.0,25.103,52.196,34.278,1534.74,1022.99
53,53.0,25.066,52.181,34.291,1534.69,1023.02
54,54.0,24.987,52.105,34.301,1534.51,1023.05
55,55.0,24.908,52.039,34.315,1534.35,1023.09
56,56.0,24.808,51.983,34.343,1534.16,1023.15
57,57.0,24.867,52.103,34.379,1534.37,1023.17
58,58.0,24.898,52.15,34.402,1534.47,1023.17
59,59.0,24.907,52.181,34.413,1534.53,1023.18
60,60.0,24.907,52.196,34.421,1534.56,1023.2
61,61.0,24.917,52.211,34.428,1534.6,1023.2
62,62.0,24.917,52.226,34.437,1534.63,1023.21
63,63.0,24.917,52.242,34.457,1534.66,1023.23
64,64.0,24.852,52.207,34.47,1534.55,1023.26
65,65.0,24.638,51.988,34.477,1534.04,1023.34
66,66.0,24.601,51.968,34.486,1533.98,1023.36
67,67.0,24.601,51.983,34.493,1534.01,1023.37
68,68.0,24.591,51.983,34.502,1534.01,1023.39
69,69.0,24.591,51.983,34.508,1534.03,1023.39
