,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,26.037,18.045,10.423,1510.7,1004.59
1,1.0,23.842,48.721,31.14,1529.01,1021.91
2,2.0,23.799,49.512,33.233,1529.61,1022.41
3,3.0,23.77,49.606,33.398,1529.65,1022.49
4,4.0,23.589,49.764,33.62,1529.49,1022.74
5,5.0,23.446,49.852,33.774,1529.34,1022.92
6,6.0,23.437,49.852,33.803,1529.34,1022.93
7,7.0,23.406,49.837,33.811,1529.29,1022.95
8,8.0,23.378,49.821,33.821,1529.25,1022.97
9,9.0,23.352,49.806,33.83,1529.2,1022.99
10,10.0,23.339,49.806,33.836,1529.2,1023.0
11,11.0,23.329,49.791,33.837,1529.19,1023.01
12,12.0,23.329,49.791,33.837,1529.2,1023.01
13,13.0,23.32,49.791,33.842,1529.2,1023.02
14,14.0,23.29,49.776,33.852,1529.16,1023.04
15,15.0,23.29,49.768,33.854,1529.17,1023.05
16,16.0,23.28,49.774,33.853,1529.17,1023.06
17,17.0,23.269,49.761,33.857,1529.16,1023.06
18,18.0,23.261,49.753,33.863,1529.16,1023.08
19,19.0,23.249,49.745,33.866,1529.15,1023.08
20,20.0,23.211,49.729,33.876,1529.09,1023.11
21,21.0,23.173,49.709,33.885,1529.02,1023.14
22,22.0,23.163,49.7,33.889,1529.01,1023.14
23,23.0,23.154,49.685,33.896,1529.0,1023.15
24,24.0,22.814,49.417,33.945,1528.21,1023.29
25,25.0,22.626,49.296,34.006,1527.79,1023.39
26,26.0,22.398,49.139,34.048,1527.28,1023.5
27,27.0,22.239,49.028,34.08,1526.93,1023.58
28,28.0,21.982,48.793,34.111,1526.29,1023.67
29,29.0,21.8,48.656,34.145,1525.87,1023.75
30,30.0,21.661,48.543,34.165,1525.53,1023.81
31,31.0,21.547,48.456,34.185,1525.27,1023.86
32,32.0,21.453,48.382,34.2,1525.06,1023.9
33,33.0,21.422,48.365,34.208,1525.0,1023.92
34,34.0,21.403,48.349,34.212,1524.97,1023.94
35,35.0,21.395,48.337,34.211,1524.97,1023.94
36,36.0,21.384,48.334,34.214,1524.96,1023.95
37,37.0,21.37,48.319,34.217,1524.94,1023.95
38,38.0,21.355,48.307,34.219,1524.91,1023.97
39,39.0,21.325,48.287,34.222,1524.86,1023.99
40,40.0,21.288,48.258,34.228,1524.78,1024.01
41,41.0,21.259,48.228,34.233,1524.72,1024.02
42,42.0,21.201,48.182,34.24,1524.59,1024.04
43,43.0,21.121,48.116,34.249,1524.41,1024.08
44,44.0,21.032,48.046,34.261,1524.2,1024.12
45,45.0,20.932,47.955,34.275,1523.96,1024.16
46,46.0,20.856,47.894,34.286,1523.78,1024.19
47,47.0,20.792,47.838,34.296,1523.63,1024.22
48,48.0,20.713,47.788,34.309,1523.46,1024.26
49,49.0,20.662,47.742,34.317,1523.34,1024.28
50,50.0,20.592,47.682,34.326,1523.17,1024.31
51,51.0,20.531,47.636,34.338,1523.04,1024.34
52,52.0,20.493,47.606,34.343,1522.96,1024.36
